participant_index,trial_number,pattern_id,success,n_steps,program_ops,program_symbolic,helpers_used,helpers_used_expanded,helpers_created_this_trial,helper_library_size
2,11,11,1,2,subtract -> invert,"W1 = subtract(H29, H39) ; W2 = invert(W1)","H29,H39","H29=W1 = add(line_v, line_h) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = add(W2, W3) ; W5 = add(W1, W4) | H39=W1 = add(line_v, line_h) ; W2 = subtract(H35, square) ; W3 = reflect_v(line_h) ; W4 = reflect_h(line_h) ; W5 = subtract(H29, square) ; W6 = subtract(W2, H30) ; W7 = subtract(W2, W6)","H42,H43",19
2,12,12,1,1,add,"W1 = add(H42, square)",H42,"H42=W1 = subtract(H29, H39)",,19
2,13,13,1,2,add -> subtract,"W1 = add(diag, H32) ; W2 = subtract(W1, H39)","H32,H39","H32=W1 = add(square, square) ; W2 = subtract(square, diag) ; W3 = reflect_v(diag) | H39=W1 = add(line_v, line_h) ; W2 = subtract(H35, square) ; W3 = reflect_v(line_h) ; W4 = reflect_h(line_h) ; W5 = subtract(H29, square) ; W6 = subtract(W2, H30) ; W7 = subtract(W2, W6)",H44,20
2,14,14,1,2,add -> subtract,"W1 = add(H42, H44) ; W2 = subtract(W1, H39)","H39,H42,H44","H39=W1 = add(line_v, line_h) ; W2 = subtract(H35, square) ; W3 = reflect_v(line_h) ; W4 = reflect_h(line_h) ; W5 = subtract(H29, square) ; W6 = subtract(W2, H30) ; W7 = subtract(W2, W6) | H42=W1 = subtract(H29, H39) | H44=W1 = add(diag, H32)",H45,21
3,1,1,1,5,reflect_h -> reflect_v -> add -> add -> add,"W1 = reflect_h(line_h) ; W2 = reflect_v(line_v) ; W3 = add(line_v, W2) ; W4 = add(W1, line_h) ; W5 = add(W4, W3)",,,"H46,H47,H48,H49",4
3,2,2,1,2,add -> add,"W1 = add(H48, H49) ; W2 = add(square, W1)","H48,H49","H48=W1 = reflect_h(line_h) ; W2 = reflect_v(line_v) ; W3 = add(line_v, W2) | H49=W1 = reflect_h(line_h) ; W2 = reflect_v(line_v) ; W3 = add(line_v, W2) ; W4 = add(W1, line_h)",H50,5
3,3,3,1,2,add -> invert,"W1 = add(square, H50) ; W2 = invert(W1)",H50,"H50=W1 = add(H48, H49)",H51,6
3,4,4,1,4,reflect_v -> subtract -> subtract -> subtract,"W1 = reflect_v(diag) ; W2 = subtract(square, W1) ; W3 = subtract(W2, W1) ; W4 = subtract(W3, diag)",,,"H52,H53",8
3,5,5,1,2,add -> add,"W1 = add(square, H52) ; W2 = add(W1, diag)",H52,H52=W1 = reflect_v(diag),H54,9
3,6,6,1,1,invert,W1 = invert(H54),H54,"H54=W1 = add(square, H52) ; W2 = add(W1, diag)",,9
3,7,7,1,2,add -> add,"W1 = add(H50, diag) ; W2 = add(W1, H52)","H50,H52","H50=W1 = add(H48, H49) | H52=W1 = reflect_v(diag)",H55,10
3,8,8,1,4,invert -> invert -> subtract -> subtract,"W1 = invert(H48) ; W2 = invert(H49) ; W3 = subtract(H50, W2) ; W4 = subtract(W3, W1)","H48,H49,H50","H48=W1 = reflect_h(line_h) ; W2 = reflect_v(line_v) ; W3 = add(line_v, W2) | H49=W1 = reflect_h(line_h) ; W2 = reflect_v(line_v) ; W3 = add(line_v, W2) ; W4 = add(W1, line_h) | H50=W1 = add(H48, H49)",H56,11
3,9,9,1,1,add,"W1 = add(H56, square)",H56,"H56=W1 = invert(H48) ; W2 = invert(H49) ; W3 = subtract(H50, W2) ; W4 = subtract(W3, W1)",H57,12
3,10,10,1,1,invert,W1 = invert(H57),H57,"H57=W1 = add(H56, square)",,12
3,11,11,1,2,invert -> add,"W1 = invert(H50) ; W2 = add(W1, H56)","H50,H56","H50=W1 = add(H48, H49) | H56=W1 = invert(H48) ; W2 = invert(H49) ; W3 = subtract(H50, W2) ; W4 = subtract(W3, W1)",H58,13
3,12,12,1,1,subtract,"W1 = subtract(H51, H56)","H51,H56","H51=W1 = add(square, H50) | H56=W1 = invert(H48) ; W2 = invert(H49) ; W3 = subtract(H50, W2) ; W4 = subtract(W3, W1)",H59,14
3,13,13,1,2,add -> subtract,"W1 = add(H52, diag) ; W2 = subtract(W1, H56)","H52,H56","H52=W1 = reflect_v(diag) | H56=W1 = invert(H48) ; W2 = invert(H49) ; W3 = subtract(H50, W2) ; W4 = subtract(W3, W1)","H60,H61",16
3,14,14,1,1,subtract,"W1 = subtract(H55, H56)","H55,H56","H55=W1 = add(H50, diag) ; W2 = add(W1, H52) | H56=W1 = invert(H48) ; W2 = invert(H49) ; W3 = subtract(H50, W2) ; W4 = subtract(W3, W1)",H62,17
4,1,1,1,6,reflect_v -> add -> reflect_d -> reflect_h -> reflect_v -> add,"W1 = reflect_v(line_v) ; W2 = add(line_v, line_h) ; W3 = reflect_d(W2) ; W4 = reflect_h(W3) ; W5 = reflect_v(W4) ; W6 = add(W3, W5)",,,"H63,H64",2
4,2,2,1,2,add -> add,"W1 = add(square, H63) ; W2 = add(W1, H64)","H63,H64","H63=W1 = reflect_v(line_v) ; W2 = add(line_v, line_h) ; W3 = reflect_d(W2) | H64=W1 = reflect_v(line_v) ; W2 = add(line_v, line_h) ; W3 = reflect_d(W2) ; W4 = reflect_h(W3) ; W5 = reflect_v(W4)",,2
4,3,3,1,3,add -> add -> invert,"W1 = add(H63, H64) ; W2 = add(square, W1) ; W3 = invert(W2)","H63,H64","H63=W1 = reflect_v(line_v) ; W2 = add(line_v, line_h) ; W3 = reflect_d(W2) | H64=W1 = reflect_v(line_v) ; W2 = add(line_v, line_h) ; W3 = reflect_d(W2) ; W4 = reflect_h(W3) ; W5 = reflect_v(W4)",,2
4,4,4,1,4,subtract -> reflect_h -> add -> subtract,"W1 = subtract(square, diag) ; W2 = reflect_h(diag) ; W3 = add(diag, W2) ; W4 = subtract(square, W3)",,,"H65,H66",4
4,5,5,1,1,add,"W1 = add(square, H66)",H66,"H66=W1 = subtract(square, diag) ; W2 = reflect_h(diag) ; W3 = add(diag, W2)",,4
4,6,6,1,2,add -> invert,"W1 = add(square, H66) ; W2 = invert(W1)",H66,"H66=W1 = subtract(square, diag) ; W2 = reflect_h(diag) ; W3 = add(diag, W2)",,4
4,7,7,1,7,reflect_h -> reflect_h -> add -> reflect_v -> add -> add -> add,"W1 = reflect_h(line_v) ; W2 = reflect_h(line_h) ; W3 = add(W2, line_h) ; W4 = reflect_v(line_v) ; W5 = add(W4, line_v) ; W6 = add(W5, W3) ; W7 = add(W6, H66)",H66,"H66=W1 = subtract(square, diag) ; W2 = reflect_h(diag) ; W3 = add(diag, W2)","H67,H68,H69",7
4,8,8,1,1,overlap,"W1 = overlap(H67, H68)","H67,H68","H67=W1 = reflect_h(line_v) ; W2 = reflect_h(line_h) ; W3 = add(W2, line_h) ; W4 = reflect_v(line_v) ; W5 = add(W4, line_v) | H68=W1 = reflect_h(line_v) ; W2 = reflect_h(line_h) ; W3 = add(W2, line_h)",,7
4,9,9,1,2,overlap -> add,"W1 = overlap(H67, H68) ; W2 = add(square, W1)","H67,H68","H67=W1 = reflect_h(line_v) ; W2 = reflect_h(line_h) ; W3 = add(W2, line_h) ; W4 = reflect_v(line_v) ; W5 = add(W4, line_v) | H68=W1 = reflect_h(line_v) ; W2 = reflect_h(line_h) ; W3 = add(W2, line_h)",,7
4,10,10,1,3,overlap -> add -> invert,"W1 = overlap(H67, H68) ; W2 = add(square, W1) ; W3 = invert(W2)","H67,H68","H67=W1 = reflect_h(line_v) ; W2 = reflect_h(line_h) ; W3 = add(W2, line_h) ; W4 = reflect_v(line_v) ; W5 = add(W4, line_v) | H68=W1 = reflect_h(line_v) ; W2 = reflect_h(line_h) ; W3 = add(W2, line_h)","H70,H71,H72",10
4,11,11,1,2,invert -> add,"W1 = invert(H69) ; W2 = add(H70, W1)","H69,H70","H69=W1 = reflect_h(line_v) ; W2 = reflect_h(line_h) ; W3 = add(W2, line_h) ; W4 = reflect_v(line_v) ; W5 = add(W4, line_v) ; W6 = add(W5, W3) | H70=W1 = overlap(H67, H68)",H73,11
4,12,12,1,3,invert -> add -> add,"W1 = invert(H73) ; W2 = add(square, W1) ; W3 = add(W2, W2)",H73,"H73=W1 = invert(H69) ; W2 = add(H70, W1)","H74,H75",13
4,13,13,1,1,subtract,"W1 = subtract(H66, H70)","H66,H70","H66=W1 = subtract(square, diag) ; W2 = reflect_h(diag) ; W3 = add(diag, W2) | H70=W1 = overlap(H67, H68)",,13
4,14,14,1,2,add -> subtract,"W1 = add(H69, H66) ; W2 = subtract(W1, H70)","H66,H69,H70","H66=W1 = subtract(square, diag) ; W2 = reflect_h(diag) ; W3 = add(diag, W2) | H69=W1 = reflect_h(line_v) ; W2 = reflect_h(line_h) ; W3 = add(W2, line_h) ; W4 = reflect_v(line_v) ; W5 = add(W4, line_v) ; W6 = add(W5, W3) | H70=W1 = overlap(H67, H68)",,13
5,1,1,1,5,add -> reflect_h -> add -> reflect_v -> add,"W1 = add(line_h, line_v) ; W2 = reflect_h(line_h) ; W3 = add(W1, W2) ; W4 = reflect_v(line_v) ; W5 = add(W3, W4)",,,,0
5,2,2,1,6,add -> reflect_h -> reflect_v -> add -> add -> add,"W1 = add(square, line_v) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = add(W1, W2) ; W5 = add(W4, W3) ; W6 = add(W5, line_h)",,,,0
5,3,3,1,9,invert -> add -> subtract -> subtract -> reflect_h -> reflect_v -> subtract -> subtract -> subtract,"W1 = invert(tri) ; W2 = add(W1, tri) ; W3 = subtract(W2, square) ; W4 = subtract(W3, line_h) ; W5 = reflect_h(line_h) ; W6 = reflect_v(line_v) ; W7 = subtract(W4, W5) ; W8 = subtract(W7, W6) ; W9 = subtract(W8, line_v)",,,"H76,H77,H78,H79",4
5,4,4,1,4,invert -> reflect_v -> overlap -> overlap,"W1 = invert(diag) ; W2 = reflect_v(W1) ; W3 = overlap(square, W2) ; W4 = overlap(W3, W1)",,,"H80,H81,H82",7
5,5,5,1,5,overlap -> overlap -> reflect_v -> add -> add,"W1 = overlap(H78, H79) ; W2 = overlap(line_v, line_h) ; W3 = reflect_v(diag) ; W4 = add(W3, diag) ; W5 = add(W4, square)","H78,H79","H78=W1 = invert(tri) ; W2 = add(W1, tri) ; W3 = subtract(W2, square) ; W4 = subtract(W3, line_h) ; W5 = reflect_h(line_h) | H79=W1 = invert(tri) ; W2 = add(W1, tri) ; W3 = subtract(W2, square) ; W4 = subtract(W3, line_h) ; W5 = reflect_h(line_h) ; W6 = reflect_v(line_v)","H83,H84",9
5,6,6,1,3,add -> invert -> subtract,"W1 = add(diag, H84) ; W2 = invert(W1) ; W3 = subtract(W2, square)",H84,"H84=W1 = overlap(H78, H79) ; W2 = overlap(line_v, line_h) ; W3 = reflect_v(diag)",H85,10
5,7,7,1,4,add -> add -> add -> add,"W1 = add(H85, line_h) ; W2 = add(W1, H78) ; W3 = add(W2, H79) ; W4 = add(W3, line_v)","H78,H79,H85","H78=W1 = invert(tri) ; W2 = add(W1, tri) ; W3 = subtract(W2, square) ; W4 = subtract(W3, line_h) ; W5 = reflect_h(line_h) | H79=W1 = invert(tri) ; W2 = add(W1, tri) ; W3 = subtract(W2, square) ; W4 = subtract(W3, line_h) ; W5 = reflect_h(line_h) ; W6 = reflect_v(line_v) | H85=W1 = add(diag, H84)",H86,11
5,8,8,1,6,overlap -> add -> overlap -> overlap -> add -> add,"W1 = overlap(line_h, line_v) ; W2 = add(H83, W1) ; W3 = overlap(H78, line_v) ; W4 = overlap(line_h, H79) ; W5 = add(W2, W3) ; W6 = add(W5, W4)","H78,H79,H83","H78=W1 = invert(tri) ; W2 = add(W1, tri) ; W3 = subtract(W2, square) ; W4 = subtract(W3, line_h) ; W5 = reflect_h(line_h) | H79=W1 = invert(tri) ; W2 = add(W1, tri) ; W3 = subtract(W2, square) ; W4 = subtract(W3, line_h) ; W5 = reflect_h(line_h) ; W6 = reflect_v(line_v) | H83=W1 = overlap(H78, H79)","H87,H88,H89,H90",15
5,9,9,1,1,add,"W1 = add(square, H90)",H90,"H90=W1 = overlap(line_h, line_v) ; W2 = add(H83, W1) ; W3 = overlap(H78, line_v) ; W4 = overlap(line_h, H79) ; W5 = add(W2, W3) ; W6 = add(W5, W4)",H91,16
5,10,10,1,1,invert,W1 = invert(H91),H91,"H91=W1 = add(square, H90)",H92,17
5,11,11,1,5,add -> add -> add -> invert -> add,"W1 = add(H78, line_h) ; W2 = add(H79, line_v) ; W3 = add(W2, W1) ; W4 = invert(W3) ; W5 = add(W4, H90)","H78,H79,H90","H78=W1 = invert(tri) ; W2 = add(W1, tri) ; W3 = subtract(W2, square) ; W4 = subtract(W3, line_h) ; W5 = reflect_h(line_h) | H79=W1 = invert(tri) ; W2 = add(W1, tri) ; W3 = subtract(W2, square) ; W4 = subtract(W3, line_h) ; W5 = reflect_h(line_h) ; W6 = reflect_v(line_v) | H90=W1 = overlap(line_h, line_v) ; W2 = add(H83, W1) ; W3 = overlap(H78, line_v) ; W4 = overlap(line_h, H79) ; W5 = add(W2, W3) ; W6 = add(W5, W4)","H93,H94,H95",20
