participant_index,trial_number,pattern_id,success,n_steps,program_ops,program_symbolic,helpers_used,helpers_used_expanded,helpers_created_this_trial,helper_library_size
8,1,1,1,5,reflect_v -> add -> reflect_h -> add -> add,"W1 = reflect_v(line_v) ; W2 = add(line_v, W1) ; W3 = reflect_h(line_h) ; W4 = add(line_h, W3) ; W5 = add(W2, W4)",,,H137,1
8,2,2,1,4,reflect_h -> add -> add -> add,"W1 = reflect_h(line_h) ; W2 = add(line_h, W1) ; W3 = add(W2, H137) ; W4 = add(square, W3)",H137,"H137=W1 = reflect_v(line_v) ; W2 = add(line_v, W1)",,1
8,3,3,1,5,reflect_h -> add -> add -> add -> invert,"W1 = reflect_h(line_h) ; W2 = add(line_h, W1) ; W3 = add(W2, H137) ; W4 = add(square, W3) ; W5 = invert(W4)",H137,"H137=W1 = reflect_v(line_v) ; W2 = add(line_v, W1)","H138,H139,H140",4
8,4,4,1,17,reflect_h -> add -> add -> invert -> reflect_h -> invert -> add -> invert -> invert -> add -> invert -> overlap -> overlap -> invert -> subtract -> reflect_v -> subtract,"W1 = reflect_h(diag) ; W2 = add(diag, W1) ; W3 = add(square, W2) ; W4 = invert(W3) ; W5 = reflect_h(tri) ; W6 = invert(W5) ; W7 = add(W6, W5) ; W8 = invert(diag) ; W9 = invert(W1) ; W10 = add(W8, W9) ; W11 = invert(W9) ; W12 = overlap(W9, diag) ; W13 = overlap(diag, W10) ; W14 = invert(W8) ; W15 = subtract(square, diag) ; W16 = reflect_v(diag) ; W17 = subtract(W15, W16)",,,"H144,H145,H146",7
8,5,5,1,3,reflect_h -> add -> add,"W1 = reflect_h(diag) ; W2 = add(diag, W1) ; W3 = add(square, W2)",,,H141,8
8,6,6,1,3,add -> add -> invert,"W1 = add(diag, H141) ; W2 = add(W1, square) ; W3 = invert(W2)",H141,H141=W1 = reflect_h(diag),"H142,H143",10
8,7,7,1,1,add,"W1 = add(H139, H142)","H139,H142","H139=W1 = reflect_h(line_h) ; W2 = add(line_h, W1) ; W3 = add(W2, H137) | H142=W1 = add(diag, H141)",,10
8,8,8,1,1,overlap,"W1 = overlap(H137, H138)","H137,H138","H137=W1 = reflect_v(line_v) ; W2 = add(line_v, W1) | H138=W1 = reflect_h(line_h) ; W2 = add(line_h, W1)",,10
8,9,9,1,2,overlap -> add,"W1 = overlap(H137, H138) ; W2 = add(square, W1)","H137,H138","H137=W1 = reflect_v(line_v) ; W2 = add(line_v, W1) | H138=W1 = reflect_h(line_h) ; W2 = add(line_h, W1)","H147,H148",12
8,10,10,1,1,invert,W1 = invert(H148),H148,"H148=W1 = overlap(H137, H138) ; W2 = add(square, W1)",H149,13
8,11,11,1,2,invert -> add,"W1 = invert(H139) ; W2 = add(W1, H147)","H139,H147","H139=W1 = reflect_h(line_h) ; W2 = add(line_h, W1) ; W3 = add(W2, H137) | H147=W1 = overlap(H137, H138)","H150,H151",15
8,12,12,1,1,subtract,"W1 = subtract(H140, H147)","H140,H147","H140=W1 = reflect_h(line_h) ; W2 = add(line_h, W1) ; W3 = add(W2, H137) ; W4 = add(square, W3) | H147=W1 = overlap(H137, H138)",,15
8,13,13,1,1,subtract,"W1 = subtract(H142, H147)","H142,H147","H142=W1 = add(diag, H141) | H147=W1 = overlap(H137, H138)",,15
8,14,14,1,2,add -> subtract,"W1 = add(H139, H142) ; W2 = subtract(W1, H147)","H139,H142,H147","H139=W1 = reflect_h(line_h) ; W2 = add(line_h, W1) ; W3 = add(W2, H137) | H142=W1 = add(diag, H141) | H147=W1 = overlap(H137, H138)",H152,16
9,1,1,1,5,add -> reflect_h -> reflect_v -> add -> add,"W1 = add(line_h, line_v) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = add(W2, W3) ; W5 = add(W1, W4)",,,"H153,H154,H155",3
9,2,2,1,3,add -> add -> add,"W1 = add(H154, H155) ; W2 = add(H153, W1) ; W3 = add(W2, square)","H153,H154,H155","H153=W1 = add(line_h, line_v) | H154=W1 = add(line_h, line_v) ; W2 = reflect_h(line_h) | H155=W1 = add(line_h, line_v) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v)","H156,H157",5
9,3,3,1,2,invert -> subtract,"W1 = invert(H157) ; W2 = subtract(W1, square)",H157,"H157=W1 = add(H154, H155) ; W2 = add(H153, W1)",H158,6
9,4,4,1,4,subtract -> reflect_v -> subtract -> subtract,"W1 = subtract(square, diag) ; W2 = reflect_v(diag) ; W3 = subtract(square, W2) ; W4 = subtract(W1, W2)",,,"H159,H160,H161,H162",10
9,5,5,1,2,add -> add,"W1 = add(diag, H160) ; W2 = add(square, W1)",H160,"H160=W1 = subtract(square, diag) ; W2 = reflect_v(diag)","H163,H164",12
9,6,6,1,1,invert,W1 = invert(H164),H164,"H164=W1 = add(diag, H160) ; W2 = add(square, W1)",H165,13
9,7,7,1,1,add,"W1 = add(H163, H157)","H157,H163","H157=W1 = add(H154, H155) ; W2 = add(H153, W1) | H163=W1 = add(diag, H160)",H166,14
9,8,8,1,6,subtract -> overlap -> overlap -> add -> reflect_h -> add,"W1 = subtract(H166, H163) ; W2 = overlap(line_h, line_v) ; W3 = overlap(H154, H155) ; W4 = add(W2, W3) ; W5 = reflect_h(W4) ; W6 = add(W4, W5)","H154,H155,H163,H166","H154=W1 = add(line_h, line_v) ; W2 = reflect_h(line_h) | H155=W1 = add(line_h, line_v) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) | H163=W1 = add(diag, H160) | H166=W1 = add(H163, H157)","H167,H168,H169,H170,H171,H172",20
9,9,9,1,1,add,"W1 = add(square, H172)",H172,"H172=W1 = subtract(H166, H163) ; W2 = overlap(line_h, line_v) ; W3 = overlap(H154, H155) ; W4 = add(W2, W3) ; W5 = reflect_h(W4) ; W6 = add(W4, W5)",H173,21
9,10,10,1,1,invert,W1 = invert(H173),H173,"H173=W1 = add(square, H172)",H174,22
9,11,11,1,1,invert,W1 = invert(H167),H167,"H167=W1 = subtract(H166, H163)",H175,23
9,12,12,1,1,add,"W1 = add(square, H167)",H167,"H167=W1 = subtract(H166, H163)",H176,24
9,13,13,1,1,subtract,"W1 = subtract(H163, H172)","H163,H172","H163=W1 = add(diag, H160) | H172=W1 = subtract(H166, H163) ; W2 = overlap(line_h, line_v) ; W3 = overlap(H154, H155) ; W4 = add(W2, W3) ; W5 = reflect_h(W4) ; W6 = add(W4, W5)",H177,25
9,14,14,1,1,add,"W1 = add(H177, H167)","H167,H177","H167=W1 = subtract(H166, H163) | H177=W1 = subtract(H163, H172)",H178,26
10,1,1,1,7,add -> reflect_v -> add -> reflect_h -> add -> add -> add,"W1 = add(line_v, blank) ; W2 = reflect_v(line_v) ; W3 = add(line_h, blank) ; W4 = reflect_h(line_h) ; W5 = add(line_v, W2) ; W6 = add(line_h, W4) ; W7 = add(W5, W6)",,,,0
10,2,2,1,7,add -> add -> reflect_v -> reflect_h -> add -> add -> add,"W1 = add(square, blank) ; W2 = add(line_v, line_h) ; W3 = reflect_v(line_v) ; W4 = reflect_h(line_h) ; W5 = add(W3, W4) ; W6 = add(W2, W5) ; W7 = add(square, W6)",,,,0
10,3,3,1,9,invert -> invert -> invert -> overlap -> reflect_h -> reflect_v -> overlap -> overlap -> overlap,"W1 = invert(square) ; W2 = invert(line_v) ; W3 = invert(line_h) ; W4 = overlap(W2, W3) ; W5 = reflect_h(W3) ; W6 = reflect_v(W2) ; W7 = overlap(W5, W6) ; W8 = overlap(W4, W7) ; W9 = overlap(W1, W8)",,,,0
10,4,4,1,4,subtract -> reflect_v -> invert -> subtract,"W1 = subtract(square, diag) ; W2 = reflect_v(diag) ; W3 = invert(W2) ; W4 = subtract(W1, W2)",,,,0
10,5,5,1,3,add -> reflect_v -> add,"W1 = add(square, diag) ; W2 = reflect_v(diag) ; W3 = add(W1, W2)",,,,0
10,6,6,1,5,invert -> invert -> reflect_h -> overlap -> overlap,"W1 = invert(square) ; W2 = invert(diag) ; W3 = reflect_h(W2) ; W4 = overlap(W1, W2) ; W5 = overlap(W4, W3)",,,,0
10,7,7,1,10,invert -> add -> reflect_h -> reflect_v -> add -> add -> add -> reflect_v -> add -> add,"W1 = invert(square) ; W2 = add(line_h, line_v) ; W3 = reflect_h(line_h) ; W4 = reflect_v(line_v) ; W5 = add(W3, W4) ; W6 = add(W2, W5) ; W7 = add(diag, blank) ; W8 = reflect_v(diag) ; W9 = add(diag, W8) ; W10 = add(W6, W9)",,,,0
10,8,8,1,8,add -> reflect_v -> add -> add -> reflect_h -> add -> invert -> subtract,"W1 = add(line_v, blank) ; W2 = reflect_v(line_v) ; W3 = add(line_v, W2) ; W4 = add(line_h, blank) ; W5 = reflect_h(line_h) ; W6 = add(line_h, W5) ; W7 = invert(W6) ; W8 = subtract(W3, W7)",,,,0
10,9,9,1,11,add -> reflect_v -> add -> add -> add -> reflect_h -> add -> invert -> invert -> subtract -> add,"W1 = add(square, blank) ; W2 = reflect_v(line_v) ; W3 = add(line_v, blank) ; W4 = add(W2, line_v) ; W5 = add(line_h, blank) ; W6 = reflect_h(line_h) ; W7 = add(line_h, W6) ; W8 = invert(W7) ; W9 = invert(W4) ; W10 = subtract(W7, W9) ; W11 = add(square, W10)",,,,0
10,10,10,1,22,invert -> add -> reflect_v -> add -> invert -> add -> reflect_h -> add -> invert -> subtract -> add -> add -> add -> add -> subtract -> subtract -> subtract -> invert -> subtract -> invert -> subtract -> subtract,"W1 = invert(square) ; W2 = add(line_v, blank) ; W3 = reflect_v(line_v) ; W4 = add(line_v, W3) ; W5 = invert(W4) ; W6 = add(line_h, blank) ; W7 = reflect_h(line_h) ; W8 = add(line_h, W7) ; W9 = invert(W8) ; W10 = subtract(W9, W5) ; W11 = add(line_v, blank) ; W12 = add(line_v, blank) ; W13 = add(line_v, line_v) ; W14 = add(square, blank) ; W15 = subtract(W4, square) ; W16 = subtract(W8, square) ; W17 = subtract(W15, W16) ; W18 = invert(W17) ; W19 = subtract(W4, W9) ; W20 = invert(W19) ; W21 = subtract(W20, W1) ; W22 = subtract(W20, square)",,,,0
10,11,11,1,16,add -> reflect_v -> add -> reflect_h -> add -> add -> add -> invert -> subtract -> invert -> subtract -> invert -> invert -> invert -> subtract -> add,"W1 = add(line_v, blank) ; W2 = reflect_v(line_v) ; W3 = add(line_h, blank) ; W4 = reflect_h(line_h) ; W5 = add(line_v, W2) ; W6 = add(line_h, W4) ; W7 = add(W5, W6) ; W8 = invert(W7) ; W9 = subtract(W6, W5) ; W10 = invert(W9) ; W11 = subtract(W5, W6) ; W12 = invert(W11) ; W13 = invert(W5) ; W14 = invert(W6) ; W15 = subtract(W5, W14) ; W16 = add(W8, W15)",,,,0
10,12,12,1,13,add -> add -> reflect_v -> add -> add -> reflect_h -> add -> invert -> invert -> subtract -> subtract -> add -> add,"W1 = add(square, blank) ; W2 = add(line_v, blank) ; W3 = reflect_v(line_v) ; W4 = add(line_v, W3) ; W5 = add(line_h, blank) ; W6 = reflect_h(line_h) ; W7 = add(line_h, W6) ; W8 = invert(W4) ; W9 = invert(W7) ; W10 = subtract(W8, W9) ; W11 = subtract(W9, W8) ; W12 = add(W11, W10) ; W13 = add(square, W12)",,,,0
10,13,13,1,15,add -> reflect_v -> add -> add -> reflect_v -> add -> add -> reflect_h -> add -> subtract -> invert -> invert -> subtract -> invert -> subtract,"W1 = add(diag, blank) ; W2 = reflect_v(diag) ; W3 = add(diag, W2) ; W4 = add(line_v, blank) ; W5 = reflect_v(line_v) ; W6 = add(line_v, W5) ; W7 = add(line_h, blank) ; W8 = reflect_h(line_h) ; W9 = add(line_h, W8) ; W10 = subtract(W6, W9) ; W11 = invert(W6) ; W12 = invert(W9) ; W13 = subtract(W9, W11) ; W14 = invert(W13) ; W15 = subtract(W3, W13)",,,,0
10,14,14,1,17,add -> reflect_v -> add -> add -> reflect_h -> add -> add -> reflect_v -> add -> invert -> invert -> subtract -> subtract -> subtract -> subtract -> add -> add,"W1 = add(diag, blank) ; W2 = reflect_v(diag) ; W3 = add(diag, W2) ; W4 = add(line_h, blank) ; W5 = reflect_h(line_h) ; W6 = add(line_h, W5) ; W7 = add(line_v, blank) ; W8 = reflect_v(line_v) ; W9 = add(line_v, W8) ; W10 = invert(W6) ; W11 = invert(W9) ; W12 = subtract(W6, W11) ; W13 = subtract(W6, W12) ; W14 = subtract(W3, W12) ; W15 = subtract(W9, W12) ; W16 = add(W13, W15) ; W17 = add(W14, W16)",,,"H179,H180,H181,H182,H183,H184,H185",7
11,1,1,1,6,add -> reflect_v -> add -> add -> reflect_h -> add,"W1 = add(line_v, line_v) ; W2 = reflect_v(line_v) ; W3 = add(line_v, W2) ; W4 = add(W3, line_h) ; W5 = reflect_h(line_h) ; W6 = add(W5, W4)",,,"H186,H187",2
11,2,2,1,5,add -> add -> add -> add -> add,"W1 = add(square, line_v) ; W2 = add(H186, H187) ; W3 = add(W1, H186) ; W4 = add(line_h, H187) ; W5 = add(W3, W4)","H186,H187","H186=W1 = add(line_v, line_v) ; W2 = reflect_v(line_v) | H187=W1 = add(line_v, line_v) ; W2 = reflect_v(line_v) ; W3 = add(line_v, W2) ; W4 = add(W3, line_h) ; W5 = reflect_h(line_h)",,2
11,3,3,1,8,add -> reflect_v -> reflect_h -> add -> add -> add -> invert -> subtract,"W1 = add(H186, H187) ; W2 = reflect_v(line_v) ; W3 = reflect_h(line_v) ; W4 = add(line_v, W1) ; W5 = add(H187, line_h) ; W6 = add(W5, W4) ; W7 = invert(square) ; W8 = subtract(W7, W6)","H186,H187","H186=W1 = add(line_v, line_v) ; W2 = reflect_v(line_v) | H187=W1 = add(line_v, line_v) ; W2 = reflect_v(line_v) ; W3 = add(line_v, W2) ; W4 = add(W3, line_h) ; W5 = reflect_h(line_h)","H188,H189,H191",5
11,4,4,1,3,subtract -> reflect_v -> subtract,"W1 = subtract(square, diag) ; W2 = reflect_v(diag) ; W3 = subtract(W1, W2)",,,"H192,H193",7
11,5,5,1,2,add -> add,"W1 = add(square, diag) ; W2 = add(W1, H193)",H193,"H193=W1 = subtract(square, diag) ; W2 = reflect_v(diag)",,7
11,6,6,1,4,invert -> add -> subtract -> subtract,"W1 = invert(square) ; W2 = add(square, W1) ; W3 = subtract(W1, diag) ; W4 = subtract(W3, H193)",H193,"H193=W1 = subtract(square, diag) ; W2 = reflect_v(diag)",H190,8
11,7,7,1,2,add -> add,"W1 = add(H189, diag) ; W2 = add(H193, W1)","H189,H193","H189=W1 = add(H186, H187) ; W2 = reflect_v(line_v) ; W3 = reflect_h(line_v) ; W4 = add(line_v, W1) ; W5 = add(H187, line_h) ; W6 = add(W5, W4) | H193=W1 = subtract(square, diag) ; W2 = reflect_v(diag)",H194,9
11,8,8,1,6,subtract -> add -> overlap -> overlap -> overlap -> add,"W1 = subtract(H189, H191) ; W2 = add(square, H190) ; W3 = overlap(line_h, line_v) ; W4 = overlap(W1, diag) ; W5 = overlap(H193, W1) ; W6 = add(W4, W5)","H189,H190,H191,H193","H189=W1 = add(H186, H187) ; W2 = reflect_v(line_v) ; W3 = reflect_h(line_v) ; W4 = add(line_v, W1) ; W5 = add(H187, line_h) ; W6 = add(W5, W4) | H190=W1 = invert(square) | H191=W1 = add(H186, H187) ; W2 = reflect_v(line_v) ; W3 = reflect_h(line_v) ; W4 = add(line_v, W1) ; W5 = add(H187, line_h) ; W6 = add(W5, W4) ; W7 = invert(square) ; W8 = subtract(W7, W6) | H193=W1 = subtract(square, diag) ; W2 = reflect_v(diag)","H195,H196",11
11,9,9,1,2,add -> add,"W1 = add(square, H195) ; W2 = add(H196, W1)","H195,H196","H195=W1 = subtract(H189, H191) ; W2 = add(square, H190) ; W3 = overlap(line_h, line_v) ; W4 = overlap(W1, diag) | H196=W1 = subtract(H189, H191) ; W2 = add(square, H190) ; W3 = overlap(line_h, line_v) ; W4 = overlap(W1, diag) ; W5 = overlap(H193, W1)",H197,12
11,10,10,1,6,invert -> invert -> add -> overlap -> add -> subtract,"W1 = invert(diag) ; W2 = invert(H193) ; W3 = add(W1, W2) ; W4 = overlap(H190, H196) ; W5 = add(H195, W4) ; W6 = subtract(H190, W5)","H190,H193,H195,H196","H190=W1 = invert(square) | H193=W1 = subtract(square, diag) ; W2 = reflect_v(diag) | H195=W1 = subtract(H189, H191) ; W2 = add(square, H190) ; W3 = overlap(line_h, line_v) ; W4 = overlap(W1, diag) | H196=W1 = subtract(H189, H191) ; W2 = add(square, H190) ; W3 = overlap(line_h, line_v) ; W4 = overlap(W1, diag) ; W5 = overlap(H193, W1)","H198,H199",14
11,11,11,1,3,add -> subtract -> add,"W1 = add(square, H190) ; W2 = subtract(W1, H189) ; W3 = add(W2, H198)","H189,H190,H198","H189=W1 = add(H186, H187) ; W2 = reflect_v(line_v) ; W3 = reflect_h(line_v) ; W4 = add(line_v, W1) ; W5 = add(H187, line_h) ; W6 = add(W5, W4) | H190=W1 = invert(square) | H198=W1 = invert(diag) ; W2 = invert(H193) ; W3 = add(W1, W2) ; W4 = overlap(H190, H196) ; W5 = add(H195, W4)","H200,H201",16
11,12,12,1,2,subtract -> subtract,"W1 = subtract(H200, H191) ; W2 = subtract(W1, H198)","H191,H198,H200","H191=W1 = add(H186, H187) ; W2 = reflect_v(line_v) ; W3 = reflect_h(line_v) ; W4 = add(line_v, W1) ; W5 = add(H187, line_h) ; W6 = add(W5, W4) ; W7 = invert(square) ; W8 = subtract(W7, W6) | H198=W1 = invert(diag) ; W2 = invert(H193) ; W3 = add(W1, W2) ; W4 = overlap(H190, H196) ; W5 = add(H195, W4) | H200=W1 = add(square, H190)","H202,H203",18
11,13,13,1,2,add -> subtract,"W1 = add(diag, H193) ; W2 = subtract(W1, H198)","H193,H198","H193=W1 = subtract(square, diag) ; W2 = reflect_v(diag) | H198=W1 = invert(diag) ; W2 = invert(H193) ; W3 = add(W1, W2) ; W4 = overlap(H190, H196) ; W5 = add(H195, W4)",H204,19
11,14,14,1,2,add -> subtract,"W1 = add(H204, H189) ; W2 = subtract(W1, H198)","H189,H198,H204","H189=W1 = add(H186, H187) ; W2 = reflect_v(line_v) ; W3 = reflect_h(line_v) ; W4 = add(line_v, W1) ; W5 = add(H187, line_h) ; W6 = add(W5, W4) | H198=W1 = invert(diag) ; W2 = invert(H193) ; W3 = add(W1, W2) ; W4 = overlap(H190, H196) ; W5 = add(H195, W4) | H204=W1 = add(diag, H193) ; W2 = subtract(W1, H198)",H205,20
12,1,1,1,7,add -> reflect_h -> add -> reflect_v -> add -> add -> add,"W1 = add(line_h, line_h) ; W2 = reflect_h(line_h) ; W3 = add(line_v, line_v) ; W4 = reflect_v(line_v) ; W5 = add(W2, line_h) ; W6 = add(W4, line_v) ; W7 = add(W5, W6)",,,"H206,H207",2
12,2,2,1,1,add,"W1 = add(square, H207)",H207,"H207=W1 = add(line_h, line_h) ; W2 = reflect_h(line_h) ; W3 = add(line_v, line_v) ; W4 = reflect_v(line_v) ; W5 = add(W2, line_h) ; W6 = add(W4, line_v) ; W7 = add(W5, W6)",H208,3
12,3,3,1,4,invert -> invert -> invert -> invert,W1 = invert(square) ; W2 = invert(H207) ; W3 = invert(square) ; W4 = invert(H208),"H207,H208","H207=W1 = add(line_h, line_h) ; W2 = reflect_h(line_h) ; W3 = add(line_v, line_v) ; W4 = reflect_v(line_v) ; W5 = add(W2, line_h) ; W6 = add(W4, line_v) ; W7 = add(W5, W6) | H208=W1 = add(square, H207)",H209,4
12,4,4,1,7,add -> subtract -> subtract -> subtract -> reflect_d -> reflect_v -> subtract,"W1 = add(square, square) ; W2 = subtract(diag, diag) ; W3 = subtract(diag, diag) ; W4 = subtract(square, diag) ; W5 = reflect_d(diag) ; W6 = reflect_v(diag) ; W7 = subtract(W4, W6)",,,H210,5
12,5,5,1,4,add -> reflect_v -> add -> add,"W1 = add(diag, diag) ; W2 = reflect_v(diag) ; W3 = add(square, diag) ; W4 = add(W3, W2)",,,H211,6
12,6,6,1,1,invert,W1 = invert(H211),H211,"H211=W1 = add(diag, diag) ; W2 = reflect_v(diag) ; W3 = add(square, diag) ; W4 = add(W3, W2)",,6
12,7,7,1,3,add -> reflect_v -> add,"W1 = add(H207, diag) ; W2 = reflect_v(diag) ; W3 = add(W1, W2)",H207,"H207=W1 = add(line_h, line_h) ; W2 = reflect_h(line_h) ; W3 = add(line_v, line_v) ; W4 = reflect_v(line_v) ; W5 = add(W2, line_h) ; W6 = add(W4, line_v) ; W7 = add(W5, W6)",H212,7
12,8,8,1,6,add -> reflect_h -> add -> overlap -> reflect_v -> add,"W1 = add(line_h, line_h) ; W2 = reflect_h(line_h) ; W3 = add(line_h, W2) ; W4 = overlap(line_v, W3) ; W5 = reflect_v(W4) ; W6 = add(W4, W5)",,,H213,8
12,9,9,1,1,add,"W1 = add(H213, square)",H213,"H213=W1 = add(line_h, line_h) ; W2 = reflect_h(line_h) ; W3 = add(line_h, W2) ; W4 = overlap(line_v, W3) ; W5 = reflect_v(W4) ; W6 = add(W4, W5)",H214,9
12,10,10,1,3,invert -> invert -> invert,W1 = invert(H213) ; W2 = invert(square) ; W3 = invert(H214),"H213,H214","H213=W1 = add(line_h, line_h) ; W2 = reflect_h(line_h) ; W3 = add(line_h, W2) ; W4 = overlap(line_v, W3) ; W5 = reflect_v(W4) ; W6 = add(W4, W5) | H214=W1 = add(H213, square)",H215,10
12,11,11,1,3,invert -> add -> add,"W1 = invert(H207) ; W2 = add(H213, H213) ; W3 = add(W1, W2)","H207,H213","H207=W1 = add(line_h, line_h) ; W2 = reflect_h(line_h) ; W3 = add(line_v, line_v) ; W4 = reflect_v(line_v) ; W5 = add(W2, line_h) ; W6 = add(W4, line_v) ; W7 = add(W5, W6) | H213=W1 = add(line_h, line_h) ; W2 = reflect_h(line_h) ; W3 = add(line_h, W2) ; W4 = overlap(line_v, W3) ; W5 = reflect_v(W4) ; W6 = add(W4, W5)",H216,11
12,12,12,1,3,add -> invert -> add,"W1 = add(H216, square) ; W2 = invert(W1) ; W3 = add(W2, square)",H216,"H216=W1 = invert(H207) ; W2 = add(H213, H213) ; W3 = add(W1, W2)",H217,12
12,13,13,1,4,reflect_v -> add -> add -> subtract,"W1 = reflect_v(diag) ; W2 = add(diag, W1) ; W3 = add(W2, H213) ; W4 = subtract(W3, H213)",H213,"H213=W1 = add(line_h, line_h) ; W2 = reflect_h(line_h) ; W3 = add(line_h, W2) ; W4 = overlap(line_v, W3) ; W5 = reflect_v(W4) ; W6 = add(W4, W5)",H218,13
12,14,14,1,2,add -> subtract,"W1 = add(H212, H212) ; W2 = subtract(W1, H213)","H212,H213","H212=W1 = add(H207, diag) ; W2 = reflect_v(diag) ; W3 = add(W1, W2) | H213=W1 = add(line_h, line_h) ; W2 = reflect_h(line_h) ; W3 = add(line_h, W2) ; W4 = overlap(line_v, W3) ; W5 = reflect_v(W4) ; W6 = add(W4, W5)",H219,14
13,1,1,1,5,reflect_v -> add -> reflect_h -> add -> add,"W1 = reflect_v(line_v) ; W2 = add(line_v, W1) ; W3 = reflect_h(line_h) ; W4 = add(line_h, W3) ; W5 = add(W4, W2)",,,"H220,H221,H222",3
13,2,2,1,1,add,"W1 = add(square, H222)",H222,"H222=W1 = reflect_v(line_v) ; W2 = add(line_v, W1) ; W3 = reflect_h(line_h) ; W4 = add(line_h, W3) ; W5 = add(W4, W2)",H223,4
13,3,3,1,1,invert,W1 = invert(H223),H223,"H223=W1 = add(square, H222)",H224,5
13,4,4,1,3,subtract -> reflect_v -> subtract,"W1 = subtract(square, diag) ; W2 = reflect_v(diag) ; W3 = subtract(W1, W2)",,,H225,6
13,5,5,1,5,add -> reflect_v -> add -> add -> add,"W1 = add(H223, diag) ; W2 = reflect_v(diag) ; W3 = add(W1, W2) ; W4 = add(H225, diag) ; W5 = add(W4, W2)","H223,H225","H223=W1 = add(square, H222) | H225=W1 = subtract(square, diag) ; W2 = reflect_v(diag) ; W3 = subtract(W1, W2)",H226,7
13,6,6,1,1,invert,W1 = invert(H226),H226,"H226=W1 = add(H223, diag) ; W2 = reflect_v(diag) ; W3 = add(W1, W2) ; W4 = add(H225, diag) ; W5 = add(W4, W2)",,7
13,7,7,1,4,add -> subtract -> add -> add,"W1 = add(H222, H226) ; W2 = subtract(W1, H225) ; W3 = add(W2, H221) ; W4 = add(W3, H220)","H220,H221,H222,H225,H226","H220=W1 = reflect_v(line_v) ; W2 = add(line_v, W1) | H221=W1 = reflect_v(line_v) ; W2 = add(line_v, W1) ; W3 = reflect_h(line_h) ; W4 = add(line_h, W3) | H222=W1 = reflect_v(line_v) ; W2 = add(line_v, W1) ; W3 = reflect_h(line_h) ; W4 = add(line_h, W3) ; W5 = add(W4, W2) | H225=W1 = subtract(square, diag) ; W2 = reflect_v(diag) ; W3 = subtract(W1, W2) | H226=W1 = add(H223, diag) ; W2 = reflect_v(diag) ; W3 = add(W1, W2) ; W4 = add(H225, diag) ; W5 = add(W4, W2)",H227,8
13,8,8,1,1,overlap,"W1 = overlap(H220, H221)","H220,H221","H220=W1 = reflect_v(line_v) ; W2 = add(line_v, W1) | H221=W1 = reflect_v(line_v) ; W2 = add(line_v, W1) ; W3 = reflect_h(line_h) ; W4 = add(line_h, W3)",H228,9
13,9,9,1,1,add,"W1 = add(square, H228)",H228,"H228=W1 = overlap(H220, H221)",H229,10
13,10,10,1,1,invert,W1 = invert(H229),H229,"H229=W1 = add(square, H228)",H230,11
13,11,11,1,4,invert -> invert -> overlap -> add,"W1 = invert(H220) ; W2 = invert(H221) ; W3 = overlap(W1, W2) ; W4 = add(W3, H228)","H220,H221,H228","H220=W1 = reflect_v(line_v) ; W2 = add(line_v, W1) | H221=W1 = reflect_v(line_v) ; W2 = add(line_v, W1) ; W3 = reflect_h(line_h) ; W4 = add(line_h, W3) | H228=W1 = overlap(H220, H221)","H231,H232,H233,H234",15
13,12,12,1,3,invert -> add -> subtract,"W1 = invert(H234) ; W2 = add(W1, square) ; W3 = subtract(W2, H228)","H228,H234","H228=W1 = overlap(H220, H221) | H234=W1 = invert(H220) ; W2 = invert(H221) ; W3 = overlap(W1, W2)",H235,16
13,13,13,1,3,reflect_v -> add -> subtract,"W1 = reflect_v(diag) ; W2 = add(W1, diag) ; W3 = subtract(W2, H228)",H228,"H228=W1 = overlap(H220, H221)","H236,H237",18
13,14,14,1,9,add -> subtract -> add -> add -> subtract -> add -> reflect_v -> add -> subtract,"W1 = add(H235, H237) ; W2 = subtract(W1, square) ; W3 = add(W2, H220) ; W4 = add(W3, H221) ; W5 = subtract(W4, H228) ; W6 = add(diag, W5) ; W7 = reflect_v(diag) ; W8 = add(W6, W7) ; W9 = subtract(W8, H228)","H220,H221,H228,H235,H237","H220=W1 = reflect_v(line_v) ; W2 = add(line_v, W1) | H221=W1 = reflect_v(line_v) ; W2 = add(line_v, W1) ; W3 = reflect_h(line_h) ; W4 = add(line_h, W3) | H228=W1 = overlap(H220, H221) | H235=W1 = invert(H234) ; W2 = add(W1, square) ; W3 = subtract(W2, H228) | H237=W1 = reflect_v(diag) ; W2 = add(W1, diag) ; W3 = subtract(W2, H228)","H238,H239",20
14,1,1,1,9,add -> reflect_h -> reflect_h -> add -> add -> reflect_h -> add -> reflect_v -> add,"W1 = add(line_h, line_v) ; W2 = reflect_h(line_h) ; W3 = reflect_h(line_v) ; W4 = add(W1, line_v) ; W5 = add(W4, line_v) ; W6 = reflect_h(line_h) ; W7 = add(W5, W6) ; W8 = reflect_v(line_v) ; W9 = add(W7, W8)",,,,0
